,region_name,region_type,year,crime_viol_rt,hh_inc_med_adj,hh_u18_pct,pop_65p_pct,pop_num
38,New York City,City,2023,5.3,79480.0,25.3,17.3,"8,258,035"
78,Manhattan,Borough,2023,5.5,104910.0,16.2,18.8,1597451
118,Bronx,Borough,2023,9.3,48610.0,31.3,15.3,"1,356,476"
158,Brooklyn,Borough,2023,4.6,79830.0,25.9,16.2,2561225
198,Queens,Borough,2023,4.0,85040.0,27.6,18.7,2252196
238,Staten Island,Borough,2023,2.7,99170.0,33.1,17.7,"490,687"
278,Greenwich Village/Financial District,Sub-Borough Area,2023,,206490.0,16.5,11.6,"152,282"
318,Lower East Side/Chinatown,Sub-Borough Area,2023,,56550.0,11.4,22.0,148789
358,Chelsea/Clinton/Midtown,Sub-Borough Area,2023,,127380.0,10.0,16.2,"121,493"
398,Stuyvesant Town/Turtle Bay,Sub-Borough Area,2023,,149640.0,10.7,20.3,"211,155"
438,Upper West Side,Sub-Borough Area,2023,,155710.0,21.4,20.2,224282
478,Upper East Side,Sub-Borough Area,2023,,165280.0,14.8,25.8,198035
518,Morningside Heights/Hamilton Heights,Sub-Borough Area,2023,,56580.0,17.2,18.7,"109,668"
558,Central Harlem,Sub-Borough Area,2023,,50830.0,21.8,14.0,134774
598,East Harlem,Sub-Borough Area,2023,,46950.0,24.5,16.5,124169
638,Washington Heights/Inwood,Sub-Borough Area,2023,,63860.0,18.6,18.0,"172,804"
678,Mott Haven/Hunts Point,Sub-Borough Area,2023,,35230.0,32.3,14.3,"141,127"
718,Morrisania/Belmont,Sub-Borough Area,2023,,32020.0,32.7,12.1,165689
758,Highbridge/South Concourse,Sub-Borough Area,2023,,39380.0,29.0,13.5,"136,846"
798,University Heights/Fordham,Sub-Borough Area,2023,,43990.0,32.1,10.8,128490
838,Kingsbridge Heights/Mosholu,Sub-Borough Area,2023,,36070.0,31.1,11.8,106316
878,Riverdale/Kingsbridge,Sub-Borough Area,2023,,78070.0,31.0,22.4,"97,645"
918,Soundview/Parkchester,Sub-Borough Area,2023,,47330.0,35.4,14.5,"181,257"
958,Throgs Neck/Co-op City,Sub-Borough Area,2023,,73710.0,25.7,19.9,133004
998,Pelham Parkway,Sub-Borough Area,2023,,61110.0,29.0,18.3,"109,210"
1038,Williamsbridge/Baychester,Sub-Borough Area,2023,,70550.0,32.9,17.5,"156,892"
1078,Williamsburg/Greenpoint,Sub-Borough Area,2023,,115720.0,21.6,8.9,191029
1118,Brooklyn Heights/Fort Greene,Sub-Borough Area,2023,,156870.0,15.3,12.5,125285
1158,Bedford Stuyvesant,Sub-Borough Area,2023,,78040.0,26.9,11.8,"177,040"
1198,Bushwick,Sub-Borough Area,2023,,81430.0,12.4,11.5,"94,851"
1238,East New York/Starrett City,Sub-Borough Area,2023,,51220.0,33.3,15.7,190021
1278,Park Slope/Carroll Gardens,Sub-Borough Area,2023,,165910.0,26.3,13.4,"123,309"
1318,Sunset Park,Sub-Borough Area,2023,,90450.0,31.0,16.3,117774
1358,North Crown Heights/Prospect Heights,Sub-Borough Area,2023,,94980.0,20.6,13.4,107301
1398,South Crown Heights,Sub-Borough Area,2023,,70340.0,19.0,18.3,"97,430"
1438,Bay Ridge,Sub-Borough Area,2023,,91920.0,27.1,19.6,"126,771"
1478,Bensonhurst,Sub-Borough Area,2023,,71610.0,32.5,18.3,180729
1518,Borough Park,Sub-Borough Area,2023,,69730.0,41.3,12.8,"196,201"
1558,Coney Island,Sub-Borough Area,2023,,43000.0,19.8,31.4,"108,087"
1598,Flatbush,Sub-Borough Area,2023,,82330.0,26.8,17.1,153524
1638,Sheepshead Bay/Gravesend,Sub-Borough Area,2023,,71520.0,27.0,19.9,153388
1678,Brownsville/Ocean Hill,Sub-Borough Area,2023,,43460.0,28.4,12.8,"96,217"
1718,East Flatbush,Sub-Borough Area,2023,,68750.0,25.2,18.8,149035
1758,Flatlands/Canarsie,Sub-Borough Area,2023,,91530.0,28.3,21.9,173233
1798,Astoria,Sub-Borough Area,2023,,87800.0,19.6,16.1,206855
1838,Sunnyside/Woodside,Sub-Borough Area,2023,,97370.0,19.2,13.0,126577
1878,Jackson Heights,Sub-Borough Area,2023,,77930.0,31.3,17.1,165110
1918,Elmhurst/Corona,Sub-Borough Area,2023,,73470.0,31.1,16.5,155327
1958,Middle Village/Ridgewood,Sub-Borough Area,2023,,87150.0,28.4,16.7,177912
1998,Rego Park/Forest Hills,Sub-Borough Area,2023,,95200.0,22.6,22.0,112438
2038,Flushing/Whitestone,Sub-Borough Area,2023,,64670.0,26.0,22.4,241045
2078,Hillcrest/Fresh Meadows,Sub-Borough Area,2023,,81030.0,28.3,21.3,142031
2118,Ozone Park/Woodhaven,Sub-Borough Area,2023,,103090.0,32.4,16.7,133830
2158,South Ozone Park/Howard Beach,Sub-Borough Area,2023,,92520.0,30.6,21.6,117303
2198,Bayside/Little Neck,Sub-Borough Area,2023,,111690.0,25.5,24.2,116400
2238,Jamaica,Sub-Borough Area,2023,,78090.0,37.3,15.6,242984
2278,Queens Village,Sub-Borough Area,2023,,107220.0,29.5,20.7,197195
2318,Rockaways,Sub-Borough Area,2023,,54800.0,29.2,20.7,117189
2358,North Shore,Sub-Borough Area,2023,,75600.0,33.3,15.9,167916
2398,Mid-Island,Sub-Borough Area,2023,,100130.0,29.2,19.1,142150
