,region_name,region_type,year,crime_viol_rt,hh_inc_med_adj,hh_u18_pct,pop_65p_pct,pop_num
0,New York City,City,2000,7.6,"$72,300",34.0%,11.7%,"8,008,278"
1,New York City,City,2001,6.8,,,,
2,New York City,City,2002,6.4,,,,
3,New York City,City,2003,6.0,,,,
4,New York City,City,2004,5.7,,,,
5,New York City,City,2005,5.6,"$53,780",32.7%,11.9%,"7,956,113"
6,New York City,City,2005-2009,,,,,
7,New York City,City,2006,5.3,"$70,390",32.3%,12.1%,"8,214,426"
8,New York City,City,2006-2010,,,,,
9,New York City,City,2007,5.1,"$71,620",32.2%,12.2%,"8,274,527"
10,New York City,City,2007-2011,,,,,
11,New York City,City,2008,5.1,"$72,450",31.6%,12.4%,"8,363,710"
12,New York City,City,2008-2012,,,,,
13,New York City,City,2009,4.6,"$70,610",31.4%,12.1%,"8,391,881"
14,New York City,City,2009-2013,,,,,
15,New York City,City,2010,4.7,"$67,630",31.5%,12.2%,"8,184,899"
16,New York City,City,2010-2014,,,,,
17,New York City,City,2011,4.9,"$66,730",31.3%,12.3%,"8,244,910"
18,New York City,City,2011-2015,,,,,
19,New York City,City,2012,5.1,"$67,340",30.5%,12.5%,"8,336,697"
20,New York City,City,2012-2016,,,,,
21,New York City,City,2013,5.1,"$67,960",30.5%,12.8%,"8,405,837"
22,New York City,City,2013-2017,,,,,
23,New York City,City,2014,4.7,"$68,060",29.5%,12.9%,"8,491,079"
24,New York City,City,2014-2018,,,,,
25,New York City,City,2015,4.8,"$71,510",29.6%,13.2%,"8,550,405"
26,New York City,City,2015-2019,,,,,
27,New York City,City,2016,4.7,"$74,690",29.1%,13.5%,"8,537,673"
28,New York City,City,2016-2020,,,,,
29,New York City,City,2017,4.4,"$75,770",28.8%,14.3%,8622698
30,New York City,City,2017-2021,,,,,
31,New York City,City,2018,4.3,"$77,920",28.3%,14.8%,"8,398,748"
32,New York City,City,2018-2022,,,,,
33,New York City,City,2019,4.4,"$83,390",27.1%,15.4%,8336817
34,New York City,City,2019-2023,,,,,
35,New York City,City,2020,4.1,,,,
36,New York City,City,2021,4.4,"$77,750",25.8%,16.3%,"8,467,513"
37,New York City,City,2022,5.2,"$80,490",25.7%,16.7%,8335897
38,New York City,City,2023,5.3,"$79,480",25.3%,17.3%,"8,258,035"
39,New York City,City,2024,5.4,,,,
40,Manhattan,Borough,2000,8.4,"$88,800",19.7%,12.2%,"1,529,375"
41,Manhattan,Borough,2001,7.4,,,,
42,Manhattan,Borough,2002,7.0,,,,
43,Manhattan,Borough,2003,6.6,,,,
44,Manhattan,Borough,2004,6.3,,,,
45,Manhattan,Borough,2005,6.2,"$69,310",19.5%,12.8%,1529774
46,Manhattan,Borough,2005-2009,,,,,
47,Manhattan,Borough,2006,5.7,"$90,880",20.2%,12.7%,1611581
48,Manhattan,Borough,2006-2010,,,,,
49,Manhattan,Borough,2007,5.4,"$94,570",19.5%,12.6%,1620867
50,Manhattan,Borough,2007-2011,,,,,
51,Manhattan,Borough,2008,5.3,"$97,830",19.7%,12.9%,1634795
52,Manhattan,Borough,2008-2012,,,,,
53,Manhattan,Borough,2009,4.7,"$96,960",19.4%,12.7%,1629054
54,Manhattan,Borough,2009-2013,,,,,
55,Manhattan,Borough,2010,4.6,"$88,570",18.2%,13.5%,1586698
56,Manhattan,Borough,2010-2014,,,,,
57,Manhattan,Borough,2011,4.6,"$89,450",18.5%,13.7%,"1,601,948"
58,Manhattan,Borough,2011-2015,,,,,
59,Manhattan,Borough,2012,4.7,"$88,780",18.2%,14.0%,"1,619,090"
60,Manhattan,Borough,2012-2016,,,,,
61,Manhattan,Borough,2013,4.5,"$93,940",18.0%,14.2%,1626159
62,Manhattan,Borough,2013-2017,,,,,
63,Manhattan,Borough,2014,4.2,"$97,720",18.1%,14.4%,1636268
64,Manhattan,Borough,2014-2018,,,,,
65,Manhattan,Borough,2015,4.5,"$96,940",16.9%,14.6%,1644518
66,Manhattan,Borough,2015-2019,,,,,
67,Manhattan,Borough,2016,4.5,"$98,420",18.5%,14.9%,"1,643,734"
68,Manhattan,Borough,2016-2020,,,,,
69,Manhattan,Borough,2017,4.4,"$105,880",17.9%,16.0%,"1,664,727"
70,Manhattan,Borough,2017-2021,,,,,
71,Manhattan,Borough,2018,4.4,"$103,890",18.2%,16.5%,"1,628,701"
72,Manhattan,Borough,2018-2022,,,,,
73,Manhattan,Borough,2019,4.7,"$112,520",16.6%,17.0%,"1,628,706"
74,Manhattan,Borough,2019-2023,,,,,
75,Manhattan,Borough,2020,4.2,,,,
76,Manhattan,Borough,2021,5.2,"$96,540",16.5%,18.3%,1576876
77,Manhattan,Borough,2022,5.8,"$103,310",16.8%,18.4%,"1,596,273"
78,Manhattan,Borough,2023,5.5,"$104,910",16.2%,18.8%,1597451
79,Manhattan,Borough,2024,5.7,,,,
80,Bronx,Borough,2000,9.8,"$52,130",43.8%,10.1%,1327690
81,Bronx,Borough,2001,8.7,,,,
82,Bronx,Borough,2002,8.4,,,,
83,Bronx,Borough,2003,7.9,,,,
84,Bronx,Borough,2004,7.6,,,,
85,Bronx,Borough,2005,7.5,"$36,190",43.9%,9.7%,"1,309,640"
86,Bronx,Borough,2005-2009,,,,,
87,Bronx,Borough,2006,7.3,"$47,690",41.3%,10.3%,"1,361,473"
88,Bronx,Borough,2006-2010,,,,,
89,Bronx,Borough,2007,7.0,"$50,300",42.0%,10.5%,"1,373,659"
90,Bronx,Borough,2007-2011,,,,,
91,Bronx,Borough,2008,7.1,"$49,660",40.3%,10.6%,1391903
92,Bronx,Borough,2008-2012,,,,,
93,Bronx,Borough,2009,6.7,"$46,420",40.0%,10.5%,"1,397,287"
94,Bronx,Borough,2009-2013,,,,,
95,Bronx,Borough,2010,6.9,"$45,190",41.3%,10.6%,1386657
96,Bronx,Borough,2010-2014,,,,,
97,Bronx,Borough,2011,6.9,"$43,250",41.2%,10.7%,1392002
98,Bronx,Borough,2011-2015,,,,,
99,Bronx,Borough,2012,7.3,"$42,950",39.2%,10.9%,1408473
100,Bronx,Borough,2012-2016,,,,,
101,Bronx,Borough,2013,7.5,"$42,950",38.4%,11.2%,1418733
102,Bronx,Borough,2013-2017,,,,,
103,Bronx,Borough,2014,7.2,"$43,300",38.5%,11.2%,1438159
104,Bronx,Borough,2014-2018,,,,,
105,Bronx,Borough,2015,7.7,"$45,120",37.9%,11.4%,1455444
106,Bronx,Borough,2015-2019,,,,,
107,Bronx,Borough,2016,7.8,"$47,620",36.9%,11.7%,1455720
108,Bronx,Borough,2016-2020,,,,,
109,Bronx,Borough,2017,7.1,"$46,550",38.6%,12.4%,1471160
110,Bronx,Borough,2017-2021,,,,,
111,Bronx,Borough,2018,6.9,"$46,980",35.7%,12.8%,1432132
112,Bronx,Borough,2018-2022,,,,,
113,Bronx,Borough,2019,7.2,"$49,780",32.9%,13.4%,1418207
114,Bronx,Borough,2019-2023,,,,,
115,Bronx,Borough,2020,6.7,,,,
116,Bronx,Borough,2021,7.4,"$49,180",33.3%,14.0%,"1,424,948"
117,Bronx,Borough,2022,8.9,"$49,050",32.5%,14.4%,1379946
118,Bronx,Borough,2023,9.3,"$48,610",31.3%,15.3%,"1,356,476"
119,Bronx,Borough,2024,9.4,,,,
120,Brooklyn,Borough,2000,9.1,"$60,680",38.2%,11.5%,"2,465,326"
121,Brooklyn,Borough,2001,8.1,,,,
122,Brooklyn,Borough,2002,7.5,,,,
123,Brooklyn,Borough,2003,7.0,,,,
