region_id,region_display,region_name,region_type,year,adlt_incar_rt,afford_le030_rct,afford_le080_rct,afford_le120_rct,crime_all_rt,crime_prop_rt,crime_viol_rt,gross_rent_0_1beds,gross_rent_2_3beds,hh_alone_pct,hh_inc_med_adj,hh_inc_own_med_adj,hh_inc_rent_med_adj,hh_u18_pct,hp_first_fhava_pct,hp_first_hi_pct,hp_first_orig,hp_first_orig_lmi_app_pct,hp_first_orig_lmi_nbhd_pct,hp_first_orig_rt,hpi_1f,hpi_4f,hpi_al,hpi_cn,hpi_ot,income_diversity_ratio,lp_all,lp_fam14condo_initial,lp_fam14condo_rate,lp_fam14condo_repeat,med_r_1f,med_r_4f,med_r_cn,med_r_ot,nb_permit_res_units,pct_prof_ela,pct_prof_math,pfn_fam14condo,pfn_fam14condo_rate,pop_65p_pct,pop_bornstate_pct,pop_commute_carfree_pct,pop_commute_time_avg,pop_disabled_pct,pop_discon_youth_pct,pop_edu_collp_pct,pop_edu_nohs_pct,pop_foreign_pct,pop_num,pop_pov_65p_pct,pop_pov_pct,pop_pov_u18_pct,pop_race_asian_pct,pop_race_black_pct,pop_race_div_idx,pop_race_hisp_pct,pop_race_white_pct,pop16_laborforce_pct,pop16_unemp_pct,population_density,priv_evic_amt_sought_med_adj,priv_evic_filing_rt,priv_evic_filings,prox_park_pct,prox_subway_pct,rburden_mod_ami_81_120,rburden_mod_ami_le80,rburden_sev_ami_81_120,rburden_sev_ami_le80,refi_hi_pct,refi_orig,refi_orig_rt,rent_burden_med,rent_burden_mod_pct,rent_burden_sev_pct,rent_change,rent_gross_med_adj,rent_gross_recent_med_adj,rent_pct_nycha,reo,serious_viol_rate,shd_420c_props,shd_420c_units,shd_421a_props,shd_421a_units,shd_all_sub_props,shd_all_sub_units,shd_ex_2025_2030_props,shd_ex_2025_2030_units,shd_ex_2031_2040_props,shd_ex_2031_2040_units,shd_ex_2041_later_props,shd_ex_2041_later_units,shd_hud_finins_props,shd_hud_finins_units,shd_hud_pbrap_props,shd_hud_pbrap_units,shd_lihtc_props,shd_lihtc_units,shd_ml_props,shd_ml_units,shd_nyc_prog_props,shd_ph_props,shd_ph_units,total_viol_rate,unit_le50_tar,unit_le50_tar_per_capita,unit_num,unit_occ_own_pct,unit_occ_rent_sevcrowd_pct,unit_vac_rent_pct,units_cert,volume_1f,volume_4f,volume_al,volume_cn,volume_ot,voucher_pct
606,NYC,New York City,City,2000,"1,340.70",,,,23.1,15.4,7.6,,,,"$72,300",,,34.0%,,,,,,,,,,,,,"7,351","5,168",9,"1,315","$402,880","$225,860","$492,080","$79,360","15,544",,,,,11.7%,,63.8%,40,,,27.4%,,35.9%,"8,008,278",,21.2%,,9.7%,24.5%,0.74,27.0%,35.0%,,9.57%,,,,,,,,,,,,,,26.2%,,23.7%,,"$1,290",,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2%,,,"13,603","13,586","13,702","33,454",4842,1324,
606,NYC,New York City,City,2001,,,,,20.3,13.6,6.8,,,,,,,,,,,,,,,,,,,,"7,308","5,185",9,"1,379","$437,630","$243,820","$525,270","$86,340","15,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,289","13,753","14,165","34,578",5284,1376,
606,NYC,New York City,City,2002,,,,,19.3,12.9,6.4,,,,,,,,,,,,,,,,,,,,"7,993","5,701",10,"1,613","$470,230","$257,750","$574,720","$94,920","18,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,024","16,933","17,581","44,954",8431,2009,
606,NYC,New York City,City,2003,,,,,18.4,12.4,6,,,,,,,,,,,,,,,,,,,,"7,645","5,287",9.4,"1,697","$541,530","$304,040","$623,640","$113,210","20,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,192","15,893","16,812","44,992",10421,1866,
606,NYC,New York City,City,2004,,,,,17.7,12.1,5.7,,,,,,,,2.2%,8.4%,59659,7.2%,23.9%,48.1,,,,,,,"6,951","4,885",8.4,"1,544","$603,800","$342,690","$775,140","$130,720",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4%,63811,51.4,,,,,,,,338,47.7,,,,,,,,,,,,,,,,,,,,,,,,212.4,,,,,,,"19,052","16,641","17,442","46,592",10649,1860,
606,NYC,New York City,City,2005,"1,048.20",5.2%,43.1%,76.3%,16.9,11.3,5.6,,,33.1%,"$53,780","$87,930","$41,010",32.7%,0.6%,20.1%,"59,169",5.8%,25.5%,46.8,,,,,,6.1,"6,885","5,023",8.3,"1,400","$667,790","$380,330","$824,920","$152,220",97,,,,,11.9%,49.5%,67.0%,39.1,,,32.2%,21.0%,36.6%,"7,956,113",20.3%,19.1%,27.7%,11.5%,23.8%,0.73,27.9%,34.5%,62.0%,8.42%,,,,,,,21.6%,31.1%,3.2%,45.6%,29.9%,"59,603",47.2,31.0%,23.8%,27.9%,,"$1,430","$1,810",,189,63.1,,,,,,,,,,,,,,,,,,,,,,,,313.7,,,3275412,33.1%,,3.7%,"19,688","17,134","19,451","50,977",11973,2419,
606,NYC,New York City,City,2005-2009,,,,,,,,"$1,380","$1,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2006,"1,086.30",6.5%,52.5%,81.7%,15.9,10.6,5.3,,,33.3%,"$70,390","$112,710","$53,080",32.3%,0.5%,22.9%,"54,851",4.4%,27.9%,42.8,,,,,,6.1,"9,721","7,466",11.5,"1,696","$690,980","$406,910","$923,320","$156,770",44,,,,,12.1%,49.6%,67.3%,39,,,32.1%,21.3%,37.0%,"8,214,426",19.0%,19.2%,28.2%,11.6%,23.7%,0.73,27.6%,34.8%,62.1%,7.79%,27.3,,,,,,18.1%,29.2%,2.9%,43.9%,32.6%,"54,152",42.3,30.5%,22.9%,27.9%,,"$1,430","$1,800",,282,60.9,,,,,,,,,,,,,,,,,,,,,,,,305.7,,,3311119,34.4%,,3.8%,"24,982","16,667","20,773","53,419",13616,2363,
606,NYC,New York City,City,2006-2010,,,,,,,,"$1,400","$1,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,NYC,New York City,City,2007,"1,216.20",5.7%,47.3%,79.3%,15,9.9,5.1,,,33.4%,"$71,620","$113,570","$55,320",32.2%,0.7%,9.9%,"47,143",4.3%,24.5%,36.3,,,,,,5.7,"14,539","11,770",17.1,"2,061","$694,520","$409,770","$1,012,200","$166,900",120,,,,,12.2%,49.4%,68.1%,39.8,,,32.9%,21.1%,36.8%,"8,274,527",18.4%,18.5%,27.3%,11.7%,23.5%,0.73,27.4%,35.1%,62.2%,7.07%,27.5,,,,,,18.1%,31.0%,2.7%,43.0%,23.1%,"37,926",29.2,29.9%,23.2%,26.6%,,"$1,450","$1,860",,976,57.7,,,,,,,,,,,,,,,,,,,,,,,,264.7,,,3325902,33.6%,,3.4%,"25,835","13,171","14,560","45,853",15906,2216,
